AMG,2016-10-31,Miss,3.355,3.02
BWA,2016-10-27,Miss,0.8640000000000001,0.78
ALB,2016-11-07,Miss,1.0070000000000001,0.91
CAG,2016-04-07,Miss,0.63,0.57
CSRA,2016-02-10,Miss,0.53,0.48
BBY,2015-11-19,Miss,0.45,0.41
WBA,2016-07-06,Miss,1.295,1.18
JNJ,2016-10-18,Miss,1.8430000000000002,1.68
IT,2016-11-03,Miss,0.636,0.58
ACN,2016-06-23,Miss,1.546,1.41
AMT,2016-10-27,Miss,0.603,0.55
FAST,2016-10-11,Miss,0.48,0.4386
SYY,2016-05-02,Miss,0.503,0.46
BSX,2016-10-26,Miss,0.295,0.27
HRS,2016-05-03,Miss,1.584,1.45
FRT,2016-11-02,Miss,0.823,0.7539
C,2016-10-14,Miss,1.351,1.24
MET,2016-11-02,Miss,1.3940000000000001,1.28
K,2016-11-01,Miss,1.044,0.96
KSU,2016-10-18,Miss,1.218,1.12
PG,2016-04-26,Miss,0.935,0.86
JBHT,2016-10-17,Miss,1.054,0.97
MJN,2016-10-27,Miss,0.9440000000000001,0.87
HCA,2016-10-27,Miss,1.745,1.61
CAH,2016-04-28,Miss,1.547,1.43
TRV,2016-10-20,Miss,2.596,2.4
PH,2016-04-26,Miss,1.633,1.51
PAYX,2016-03-30,Miss,0.539,0.5
QCOM,2016-07-20,Miss,1.16,1.0781
DISH,2016-11-09,Miss,0.688,0.64
ISRG,2016-10-18,Miss,5.278,4.9149
XRAY,2016-11-04,Miss,0.708,0.66
SNA,2016-10-20,Miss,2.378,2.2198
SYF,2016-10-21,Miss,0.782,0.73
CTL,2016-10-31,Miss,0.599,0.56
ZTS,2016-11-02,Miss,0.5539999999999999,0.52
BIIB,2016-10-26,Miss,5.132000000000001,4.8278
AMGN,2016-10-27,Miss,2.885,2.7178
KMB,2016-10-24,Miss,1.6130000000000002,1.52
CTAS,2016-03-22,Miss,1.114,1.05
ADI,2016-08-17,Meet,0.7809999999999999,0.82
PPG,2016-10-20,Meet,1.4880000000000002,1.56
HSIC,2016-11-02,Meet,1.604,1.68
RAI,2016-10-19,Meet,0.583,0.61
HPE,2016-09-07,Meet,0.469,0.49
RTN,2016-10-27,Meet,1.715,1.79
IDXX,2016-11-01,Meet,0.595,0.62
PRU,2016-11-02,Meet,2.556,2.66
VRSK,2016-11-01,Meet,0.8079999999999999,0.84
CL,2016-10-27,Meet,0.703,0.73
DRI,2016-04-05,Meet,1.167,1.21
TROW,2016-10-27,Meet,1.129,1.17
CINF,2016-10-25,Meet,0.83,0.86
SBUX,2016-07-21,Meet,0.473,0.49
JNPR,2016-10-25,Meet,0.44,0.455
CNC,2016-10-25,Meet,1.075,1.11
ITW,2016-10-20,Meet,1.454,1.5
GD,2016-10-26,Meet,2.404,2.48
RF,2016-10-18,Meet,0.223,0.23
VAR,2016-07-27,Meet,1.183,1.22
EFX,2016-10-26,Meet,1.3969999999999998,1.44
AFL,2016-10-27,Meet,1.7690000000000001,1.82
CCI,2016-10-20,Meet,0.32,0.3292
BBT,2016-10-19,Meet,0.7390000000000001,0.76
EL,2016-05-03,Meet,0.71,0.73
EXPD,2016-11-08,Meet,0.575,0.59
KO,2016-10-26,Meet,0.478,0.49
PFG,2016-10-27,Meet,1.123,1.15
BCR,2016-10-25,Meet,2.58,2.64
BDX,2016-08-04,Meet,2.298,2.35
TMK,2016-10-25,Meet,1.1540000000000001,1.18
JEC,2016-08-09,Meet,0.763,0.78
COO,2016-09-01,Meet,2.251,2.3
